asset,metric,mean,std,max,max_date,min,min_date,days_abs_gt_0.5pct,days_abs_gt_1pct,p95,median,Q1,Q3,p90,p99
USDT,M1,0.00020844374846222492,0.0006526344510731672,0.007622947274829928,2023-03-11,-0.00408617032792602,2022-05-11,2.0,0.0,,,,,,
USDT,M2,0.0005308852542325885,0.0010600603960017416,0.026557299642145246,2022-05-12,,,,,0.0013290525898243294,,,,,
USDT,M3,22956.6201423098,,138332.0,2025-01-16,,,,,90915.89999999995,1440.0,1440.0,57148.0,82447.40000000001,104515.06
DAI,M1,0.001365110426889765,0.004632474398246897,0.040122484617959975,2020-09-14,-0.027687029315092038,2023-03-11,173.0,108.0,,,,,,
DAI,M2,0.002864960819344818,0.004712286296481921,0.07235071805839972,2020-08-12,,,,,0.01023792910780771,,,,,
DAI,M3,13903.869731800767,,88135.0,2023-12-05,,,,,50941.99999999997,1440.0,1440.0,36411.5,47054.4,59045.060000000005
