panel,series,stat,p_value,used_lag,nobs,crit_1%,crit_5%,crit_10%,icbest
M1_raw,Bitcoin_Volatility,-5.236335908355662,7.408164012453015e-06,21,1805,-3.433978046594855,-2.8631425806072164,-2.567623161347749,-9932.840654099567
M1_raw,USDT_Measure1,-5.2866763771553495,5.8345643231949864e-06,24,1802,-3.4339840952648695,-2.8631452508003057,-2.567624583142913,-22992.35761031095
M1_raw,DAI_Measure1,-3.1919885966349946,0.020453119285183306,23,1803,-3.4339820768018106,-2.8631443597478143,-2.567624108684946,-17321.677153139753
