asset,date,M1,M1_abs
USDT,2023-03-11,0.007622947274829928,0.007622947274829928
USDT,2023-03-12,0.007155890831830103,0.007155890831830103
USDT,2023-03-13,0.0041863472030700954,0.0041863472030700954
DAI,2020-09-14,0.040122484617959975,0.040122484617959975
DAI,2020-09-11,0.037968291437219914,0.037968291437219914
DAI,2020-05-25,0.03467734622479002,0.03467734622479002
