UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure2
DAY,1589155200,267,cadli,BTC-USD,8740.4179326506,9130.71980161575,8249.65254001456,8641.00220583123,1589155200,1589241540,8778.46558807864,9130.71980161575,1589200920,8249.65254001456,1589221080,8641.00220583123,1440,1352698.9215702,11796395706.3458,456044.421721314,3973191343.98321,258919.975938492,2249242315.48861,145812.62112947,1266090303.7366,True,True,0.06094101588701528
DAY,1589241600,267,cadli,BTC-USD,8641.00220583123,8989.31967319485,8565.62280399013,8875.79917297786,1589241600,1589327940,8615.95271406007,8989.31967319485,1589304600,8565.62280399013,1589241720,8875.79917297786,1440,839073.126268171,7392661009.12265,242483.005085841,2137460552.84312,138150.423936738,1213788468.19744,73431.7326666986,646299442.967894,True,True,0.0289952904512482
DAY,1589328000,267,cadli,BTC-USD,8875.79917297786,9382.66386361187,8810.04600065361,9297.38596150461,1589328000,1589414340,8810.04600065361,9382.66386361187,1589404860,8810.04600065361,1589328000,9297.38596150461,1440,888785.435857486,8064685997.86628,263803.062805024,2397829631.06594,157600.533917676,1432074466.70186,83168.6778566453,757288807.37499,True,True,0.03781797283685069
DAY,1589414400,267,cadli,BTC-USD,9297.38596150461,9870.91397807703,9246.17904135798,9758.49501265674,1589414400,1589500740,9271.03056809566,9870.91397807703,1589450760,9246.17904135798,1589422080,9758.49501265674,1440,1158405.95775501,11110461019.7828,361740.918934286,3480550301.31204,188051.594261399,1797248662.8978,111690.238753209,1076908891.59241,True,True,0.03926592942734734
DAY,1589500800,267,cadli,BTC-USD,9758.49501265674,9809.78983005409,9215.93254235827,9314.74502176767,1589500800,1589587140,9770.2619094065,9809.78983005409,1589500860,9215.93254235827,1589575140,9314.74502176767,1440,992229.673083257,9427585841.96692,324408.959461276,3079303664.88472,161267.172607716,1527441439.56596,99556.1626154266,944069026.603118,True,True,0.03750328456244093
DAY,1589587200,267,cadli,BTC-USD,9314.74502176767,9567.58898876144,9221.89444030755,9387.04146504907,1589587200,1589673540,9326.08644409848,9567.58898876144,1589606340,9221.89444030755,1589588040,9387.04146504907,1440,616589.601064736,5797904918.30677,185304.739501475,1742346031.29091,78373.3840216147,737253640.315918,43868.3614715247,412700549.999885,True,True,0.022101104072165756
DAY,1589673600,267,cadli,BTC-USD,9387.04146504907,9861.89951427569,9328.79597056391,9671.06469824559,1589673600,1589759940,9353.05929754506,9861.89951427569,1589728260,9328.79597056391,1589673720,9671.06469824559,1440,702693.948761556,6771048221.83915,217968.444473766,2102562767.1296,100435.090440485,971062608.310467,63230.4966767443,611911505.592221,True,True,0.03337489248950861
DAY,1589760000,267,cadli,BTC-USD,9671.06469824559,9926.21835704417,9520.44067193723,9706.90475344103,1589760000,1589846340,9686.7315831451,9926.21835704417,1589765460,9520.44067193723,1589791740,9706.90475344103,1440,724543.374507469,7032457807.3954,224285.745604426,2177198966.95469,112419.645656926,1092728515.01163,67248.0797111167,653520916.158617,True,True,0.025066486964446154
DAY,1589846400,267,cadli,BTC-USD,9706.90475344103,9865.66440925832,9487.0120302294,9772.15111515857,1589846400,1589932740,9724.81397283607,9865.66440925832,1589887260,9487.0120302294,1589861580,9772.15111515857,1440,709154.667804321,6858731544.63972,228327.634368447,2208727978.03698,105899.2950211,1025214919.13539,62031.6035606493,600421894.725314,True,True,0.023504031056893075
DAY,1589932800,267,cadli,BTC-USD,9772.15111515857,9823.81639365705,9363.71595204677,9513.98697325318,1589932800,1590019140,9776.02595293225,9823.81639365705,1589956860,9363.71595204677,1589989920,9513.98697325318,1440,719313.196038947,6935966438.80961,236420.363589789,2276484761.32446,106949.526349447,1027529937.17266,67280.7067084774,645272236.759346,True,True,0.028807399471610096
DAY,1590019200,267,cadli,BTC-USD,9513.98697325318,9563.16022742857,8828.86481753132,9065.8802917068,1590019200,1590105540,9471.89429907265,9563.16022742857,1590021300,8828.86481753132,1590087480,9065.8802917068,1440,821133.08321853,7581882341.52444,314856.638561803,2898777882.50102,149516.172343379,1371564001.39049,92923.2859661586,850364361.170393,True,True,0.047979911752587465
DAY,1590105600,267,cadli,BTC-USD,9065.8802917068,9260.06283237237,8938.61023031417,9174.22114726037,1590105600,1590191940,9044.57301160761,9260.06283237237,1590166800,8938.61023031417,1590122400,9174.22114726037,1440,550462.308723022,5024232868.1122,186664.576695755,1703523330.01918,78686.1100203107,717718107.896067,43726.7408846307,398764375.519436,True,True,0.021218255016597694
DAY,1590192000,267,cadli,BTC-USD,9174.22114726037,9316.73588401701,9091.83597359629,9178.12170710802,1590192000,1590278340,9189.95709869626,9316.73588401701,1590203400,9091.83597359629,1590237060,9178.12170710802,1440,469375.301183134,4326099044.04611,135231.795391551,1246216423.65272,46738.4464478799,430148598.57447,21563.8703477999,198536996.343422,True,True,0.014674998433356056
DAY,1590278400,267,cadli,BTC-USD,9178.12170710802,9332.77031993338,8732.65709972182,8733.04352827803,1590278400,1590364740,9185.60420254416,9332.77031993338,1590311400,8732.65709972182,1590363300,8733.04352827803,1440,612875.01489001,5574224026.96364,203987.375857198,1850760102.03679,88712.1233202045,802173429.158092,51206.9242736345,462300511.028611,True,True,0.03991462431484272
DAY,1590364800,267,cadli,BTC-USD,8733.04352827803,9028.58586586304,8665.42708230214,8976.2996446713,1590364800,1590451140,8698.04199322814,9028.58586586304,1590435900,8665.42708230214,1590364860,8976.2996446713,1440,586847.507653729,5200583263.9936,184632.753769357,1633919660.57193,86802.6189303276,764442073.109354,50185.0307659576,441767664.780987,True,True,0.024655764591600918
DAY,1590451200,267,cadli,BTC-USD,8976.2996446713,9087.54942860743,8723.22396149995,8836.16271690057,1590451200,1590537540,8971.48824158697,9087.54942860743,1590480840,8723.22396149995,1590508740,8836.16271690057,1440,539919.355819325,4812491526.25499,175257.604043273,1560531090.56864,76458.590315043,677150571.370407,43292.415670263,383404091.319714,True,True,0.024572797709811776
DAY,1590537600,267,cadli,BTC-USD,8836.16271690057,9240.19506431958,8826.30003853107,9239.29481173782,1590537600,1590623940,8830.51983621918,9240.19506431958,1590592980,8826.30003853107,1590553620,9239.29481173782,1440,562484.872093729,5107145241.46264,192045.281624354,1744197874.00488,83765.7849005181,760075145.858899,45955.3805749781,417520443.603817,True,True,0.02752197306690429
DAY,1590624000,267,cadli,BTC-USD,9239.29481173782,9607.64538862432,9120.69391108517,9567.99818292576,1590624000,1590710340,9224.58365733485,9607.64538862432,1590708540,9120.69391108517,1590653160,9567.99818292576,1440,657327.685282632,6144297583.91842,213334.538819949,1995453036.71212,99750.9099716653,934423897.78537,53331.1679079653,499584461.351109,True,True,0.031237163026636833
DAY,1590710400,267,cadli,BTC-USD,9567.99818292576,9588.68513890952,9341.33088813523,9423.86930534028,1590710400,1590796740,9577.65600246383,9588.68513890952,1590712560,9341.33088813523,1590750000,9423.86930534028,1440,652861.341512751,6165701307.52735,171481.347847286,1619441819.47597,113316.998930869,1071793277.92897,37521.3246443375,354665036.662127,True,True,0.015695689004566634
DAY,1590796800,267,cadli,BTC-USD,9423.86930534028,9720.48901189674,9339.16435908574,9696.46441073909,1590796800,1590883140,9429.18400174195,9720.48901189674,1590879600,9339.16435908574,1590809160,9696.46441073909,1440,500388.964925885,4765792359.98388,180392.784416489,1717963461.6411,75447.1746132064,719834370.081974,45434.4953785364,433538349.935589,True,True,0.024033947651553932
DAY,1590883200,267,cadli,BTC-USD,9696.46441073909,9696.46441073909,9402.78518342815,9450.9515134233,1590883200,1590969540,9682.52004549273,9685.72854411742,1590883320,9402.78518342815,1590966300,9450.9515134233,1440,543156.955838259,5179400494.83634,156921.081291111,1495786040.24929,80308.0441276485,766371634.964881,29476.1274032785,281180737.766944,True,True,0.018470490353798406
DAY,1590969600,267,cadli,BTC-USD,9450.9515134233,10327.2020842288,9413.51956014319,10189.9790223102,1590969600,1591055940,9437.56136663264,10327.2020842288,1591054680,9413.51956014319,1590969900,10189.9790223102,1440,621271.28148572,6025232574.59084,226451.137190532,2215598155.22441,116459.869558601,1137618595.80309,72710.17154506,716858648.526062,True,True,0.0556326784607594
DAY,1591056000,267,cadli,BTC-USD,10189.9790223102,10195.1906104178,9331.71020828937,9532.84938215527,1591056000,1591142340,10193.3897033057,10195.1906104178,1591057680,9331.71020828937,1591111740,9532.84938215527,1440,856392.745201527,8429346086.38072,346569.486940348,3401692920.89828,173548.997118644,1705216594.28668,118371.813663113,1160723518.27427,True,True,0.05314834546435276
